OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944155;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963848;E00963850;E00963852;E00963853;E00963855;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982252;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982480;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:03993:06478_SUB_SUB;181;0;0;0;0;0;0;0;0;0;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:02282:06792_SUB_SUB;102;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;7;9;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
M68YD:00430:04024_SUB_SUB;161;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;6;0;0;2;0;1;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;105;0;0;0;0;0;0;0;1;0;8;0;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0
M68YD:05254:06250_SUB_SUB;1558;3;0;0;0;0;1;0;7;10;6;19;11;1;0;21;7;5;47;0;0;23;0;11;9;62;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;2;21;141;2;13;0;0;0;0;0;0;0;0;0;0;0;51;826;1;9;0;0;0;0;0;63;1;20;6;0;0;0;120;2;0;0;0;0;1;0;0;0;0;0;0;30;0;1
M68YD:04734:05861_SUB_SUB;121;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;7;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;76;0;0;0;0;0;0;0;3;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04150:06820_SUB_SUB;754;0;2;0;0;0;0;0;0;7;0;15;12;0;0;54;0;24;129;291;0;4;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;42;0;0;0;0;0;0;34;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;31;0;1
M68YD:00938:05092_SUB_SUB;1340;1;3;0;0;1;3;0;11;16;3;42;14;5;0;4;9;17;126;0;1;25;0;35;51;104;0;0;0;0;0;0;0;0;0;0;0;0;2;20;0;0;24;542;1;17;0;0;0;0;0;0;0;0;0;0;0;84;0;0;8;0;0;0;1;0;29;58;40;0;2;1;0;0;1;0;0;0;0;14;0;0;0;0;0;0;23;0;2
M68YD:04727:04059_SUB_SUB;4021;0;3;0;1;0;1;0;8;5;5;29;9;0;0;1;13;32;17;148;0;21;0;7;0;113;0;0;1;0;0;0;0;0;0;20;0;0;4;0;0;24;21;0;6;2;0;0;0;0;0;0;0;0;0;0;0;69;2324;498;16;0;0;0;2;0;45;0;35;0;0;0;0;487;2;0;0;0;0;17;0;0;0;0;0;0;35;0;0
M68YD:01648:04843_SUB_SUB;338;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;5;0;8;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;248;25;1;0;0;0;0;0;2;1;1;0;0;0;0;27;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
M68YD:02661:05658_SUB_SUB;180;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;112;22;2;0;0;0;1;0;3;0;5;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00508:02492_SUB_SUB;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;1;0;0;0;0;0;6;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:03513:07345_SUB_SUB;174;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;6;1;16;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;71;53;1;0;0;0;0;0;1;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
M68YD:03991:06442_SUB_SUB;806315;1917;5813;554;442;555;644;394;3347;14402;12163;16815;2419;1870;140;13130;1661;10262;40742;20790;150;38565;1;23939;4956;26448;127;11781;13305;20;1928;1;42;50676;2;14834;6;326;3689;3523;132;17655;21331;57041;1144;10438;17;2686;8392;310;60077;0;4;10;0;0;89;23011;16356;60036;6849;0;61;12;537;0;22260;28162;28270;20767;2700;5944;909;21566;2885;126;1;1;850;10336;1;97;0;632;231;4;30948;0;1058
M68YD:03989:06795_SUB_SUB;80285;143;483;43;17;44;42;20;466;1277;1185;1573;240;154;3;1006;169;1038;4133;1134;10;4805;0;3487;357;2819;7;595;1221;3;122;0;4;3606;0;723;0;20;385;251;4;1588;2564;5965;103;1041;1;164;688;28;5813;0;0;0;0;0;3;2835;1629;5427;660;0;1;0;65;0;2996;3696;3140;1230;218;562;111;2402;407;6;0;0;67;1283;0;5;0;76;19;0;3801;0;102
M68YD:04055:06992_SUB_SUB;18944;32;108;15;3;11;12;3;153;282;358;454;73;23;0;163;38;144;914;130;1;1038;0;924;77;844;0;54;300;1;14;0;0;541;0;81;0;3;85;48;0;418;774;1424;17;340;0;21;96;2;1146;0;0;0;0;0;0;824;321;1290;156;0;3;0;9;0;707;947;909;188;44;134;14;668;84;0;0;0;6;355;0;0;0;10;0;0;1084;0;26
M68YD:00955:06289_SUB_SUB;4194;14;29;2;0;6;2;1;14;60;70;85;11;3;0;55;13;40;169;59;0;237;0;174;22;145;0;46;76;0;10;0;0;165;0;58;0;1;20;15;0;90;120;306;8;71;0;11;44;1;353;0;0;0;0;0;0;169;120;308;29;0;0;0;4;0;119;167;153;66;13;34;8;127;15;0;0;0;2;51;1;0;0;2;1;0;189;0;10
M68YD:00056:02263_SUB_SUB;3464;9;19;0;0;3;3;1;25;52;70;92;19;2;0;35;4;27;149;13;0;141;0;185;8;158;0;6;51;0;1;0;0;104;0;6;0;0;14;6;0;76;149;266;1;53;0;2;10;0;231;0;0;0;0;0;0;167;39;234;22;0;0;0;2;0;125;217;169;27;9;19;0;105;13;0;0;0;0;68;0;0;0;3;0;0;250;0;4
M68YD:00644:05119_SUB_SUB;311;1;1;0;0;0;0;0;2;4;6;8;0;1;0;4;0;2;15;6;0;21;0;10;1;9;0;4;4;0;3;0;0;16;0;2;1;0;2;1;1;4;7;28;1;6;0;0;4;0;24;0;0;0;0;0;0;7;6;23;1;0;0;0;0;0;9;12;16;7;0;6;0;8;1;0;0;0;0;2;0;0;0;0;0;0;13;0;1
M68YD:00528:03587_SUB_SUB;894;4;3;2;0;0;0;0;6;8;16;21;5;2;0;12;3;7;42;8;1;55;0;54;5;31;0;5;15;0;0;0;0;37;0;3;0;0;7;1;0;10;43;58;1;16;0;1;4;0;51;0;0;0;0;0;0;37;28;51;8;0;0;0;0;0;40;50;41;5;2;5;2;32;3;0;0;0;0;11;0;0;0;1;1;0;40;0;0
M68YD:02930:03423_SUB_SUB;295;2;6;0;0;0;0;0;1;4;6;9;2;1;0;5;0;0;14;0;0;7;0;14;2;13;0;1;4;0;0;0;0;5;0;0;0;0;1;3;0;13;10;25;0;3;0;0;1;0;18;0;0;0;0;0;0;8;3;26;1;0;0;0;0;0;6;29;18;4;0;2;0;7;0;0;0;0;0;4;0;0;0;1;0;0;15;0;1
M68YD:00753:05506_SUB_SUB;302;0;3;0;0;1;1;0;0;9;3;6;1;0;0;3;0;1;15;4;0;25;0;22;0;21;0;0;3;0;1;0;0;6;0;1;0;0;0;0;0;7;8;18;0;6;0;0;1;0;21;0;0;0;0;0;0;14;3;15;1;0;0;0;0;0;15;10;20;1;0;1;0;9;1;0;0;0;1;6;0;0;0;0;0;0;18;0;0
M68YD:04032:06409_SUB_SUB;14305;21;73;8;9;4;8;2;59;220;162;212;36;30;0;205;22;254;720;345;3;770;0;430;85;501;2;154;165;1;34;0;2;702;0;154;0;5;83;48;2;227;436;1251;29;152;0;53;109;3;1008;0;0;0;0;0;1;472;560;1006;163;0;0;0;14;0;775;547;363;319;63;108;17;412;82;4;0;0;9;171;0;2;0;11;8;0;385;0;14
