OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944157;E00944160;E00944167;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963500;E00963501;E00963502;E00963506;E00963508;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963764;E00963842;E00963843;E00963845;E00963846;E00963850;E00963852;E00963853;E00963859;E00963864;E00982230;E00982232;E00982233;E00982241;E00982258;E00982259;E00982262;E00982264;E00982266;E00982273;E00982477;E00982478;E00982481;E00982487;E00982489;E00982493;E00982494;E00982496;E00982497;E00982501;;;;;;;;;;;;;;;;;;;;;;
M68YD:02641:01487_SUB_SUB;292;0;5;4;0;1;0;17;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;217;25;11;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:01910:01078_SUB_SUB;308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;11;0;0;0;0;0;0;0;0;0;2;0;276;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:04914:04994_SUB_SUB;28565;0;0;0;0;0;0;3;0;0;42;5;0;0;1;0;0;6;0;434;17;298;2695;1661;26;0;3;0;18;4;0;1;132;13683;144;61;924;406;434;4882;200;0;29;15;0;0;0;858;5;434;15;2;1;16;594;1;0;47;2;0;43;3;4;0;0;5;411;;;;;;;;;;;;;;;;;;;;;;
M68YD:04443:06684_SUB_SUB;2606;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;38;0;16;187;94;1;0;0;0;1;0;0;0;8;1435;11;2;63;19;18;485;14;0;4;0;0;0;0;80;0;47;0;0;0;0;35;0;0;11;0;0;1;0;2;0;0;1;29;;;;;;;;;;;;;;;;;;;;;;
M68YD:00236:03807_SUB_SUB;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;20;7;1;0;0;0;0;0;0;0;2;136;2;1;5;1;1;44;2;0;1;1;0;0;0;4;0;8;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;
M68YD:03017:01085_SUB_SUB;589;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;5;38;27;1;0;0;0;1;0;0;0;2;309;2;2;18;7;8;117;2;0;0;0;0;0;0;15;0;6;0;0;0;0;8;0;0;2;0;0;2;0;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;;
M68YD:00085:01238_SUB_SUB;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;28;8;0;0;0;0;0;1;0;0;0;116;1;0;5;2;4;36;0;0;0;1;0;0;0;7;0;2;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;
M68YD:02330:05574_SUB_SUB;583;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;1;20;42;31;0;0;0;0;1;0;0;0;2;248;5;1;22;7;17;98;10;0;0;0;0;0;0;24;1;9;1;0;0;2;18;0;0;2;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;;
M68YD:03706:01355_SUB_SUB;798;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;6;145;43;3;0;0;0;0;1;0;0;1;303;0;2;25;13;3;135;9;0;0;1;0;0;0;31;0;21;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;
M68YD:05010:06633_SUB_SUB;148;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;8;4;0;0;0;0;0;0;0;0;0;64;0;0;6;2;7;32;2;0;0;0;0;0;0;12;0;2;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;
