OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963850;E00963852;E00963853;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:00590:02532_SUB_SUB;366;0;113;11;0;13;0;0;132;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00076:02093_SUB_SUB;144;0;89;0;0;1;0;0;18;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00075:04526_SUB_SUB;124;0;26;0;0;0;0;0;78;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:01396:02538_SUB_SUB;511;1;0;0;0;0;1;0;0;6;0;0;0;0;15;0;0;3;2;0;49;0;11;0;0;49;0;0;5;0;3;0;0;0;0;0;1;3;17;0;0;6;95;0;0;0;1;0;0;3;0;0;0;0;0;0;0;2;1;0;15;0;0;1;0;5;0;15;8;2;2;4;1;0;0;164;0;0;0;8;0;0;11;0;1
M68YD:02342:07033_SUB_SUB;14572;0;0;0;0;0;0;0;1;0;8;0;0;0;99;4;0;0;0;0;0;0;0;179;17;536;954;0;974;33;0;0;6;0;0;0;17;21;3;1;55;6261;126;19;456;0;27;120;2347;154;0;9;3;0;0;0;0;0;984;2;23;0;4;0;15;7;0;6;560;0;0;1;137;12;1;31;0;1;0;11;0;0;13;0;334
M68YD:04853:02670_SUB_SUB;912;0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;0;0;0;0;0;0;0;13;0;14;49;0;51;3;0;0;0;0;0;0;1;2;0;0;5;442;7;0;20;0;0;1;178;8;0;1;0;0;0;0;0;0;46;0;2;0;0;0;1;0;0;0;29;0;0;1;9;1;0;2;0;0;0;1;0;0;0;0;17
M68YD:00849:00564_SUB_SUB;124;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;6;9;0;11;0;0;0;0;0;0;0;0;0;0;0;1;43;1;0;3;0;0;0;28;1;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
M68YD:01217:06219_SUB_SUB;422;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;46;0;33;4;0;0;0;0;0;0;0;1;0;0;0;138;2;0;19;0;0;0;70;7;0;0;0;0;0;0;0;0;36;0;1;0;0;0;0;0;0;0;38;0;0;0;3;0;0;5;0;0;0;1;0;0;6;0;5
M68YD:01130:04364_SUB_SUB;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;46;2;0;1;0;1;1;22;2;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
M68YD:04131:06926_SUB_SUB;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04024:06944_SUB_SUB;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04440:02571_SUB_SUB;392;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;22;0;2;0;0;11;0;0;31;0;0;0;0;0;0;0;0;2;0;0;0;0;22;1;0;4;12;0;6;2;0;0;1;0;0;0;0;0;7;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0
M68YD:02504:03717_SUB_SUB;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;2;0;16;2;6;0;0;8;0;0;0;0;0;0;2;0;10;0;32;0;4;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;100;1;7;0;9;1;0;0;2;0;0;0;0;0;0;0;0;0
M68YD:00021:04891_SUB_SUB;383;4;60;2;0;0;0;0;179;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04028:06658_SUB_SUB;402;0;39;0;0;2;0;0;194;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00787:05834_SUB_SUB;312;0;39;4;0;3;0;0;150;3;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
M68YD:04477:06471_SUB_SUB;355;0;29;7;0;2;0;0;175;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0
M68YD:04562:06686_SUB_SUB;127;5;19;2;0;13;0;0;57;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:01622:04104_SUB_SUB;308;1;37;0;0;55;0;0;111;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00679:06076_SUB_SUB;128;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;4;22;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;10;0;0;0;14;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;8;0;1
M68YD:05200:02733_SUB_SUB;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;8;57;0;0;0;47;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04038:06843_SUB_SUB;435;0;0;6;11;0;15;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;0;0;50;40;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:01058:02379_SUB_SUB;263;0;0;0;4;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:00202:02148_SUB_SUB;404;0;0;0;0;0;0;4;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;346;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
