OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944155;E00944156;E00944157;E00944160;E00944167;E00963469;E00963474;E00963476;E00963478;E00963482;E00963484;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963506;E00963508;E00963510;E00963511;E00963512;E00963740;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963850;E00963852;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982241;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982480;E00982481;E00982487;E00982488;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501;;;;;;;;;;;
M68YD:04024:06875_SUB_SUB;648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;648;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00701:06024_SUB_SUB;177;0;102;0;0;4;0;0;0;32;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:03422:02001_SUB_SUB;784;1;142;6;0;3;18;0;0;459;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04863:06348_SUB_SUB;5708;0;0;0;0;0;0;0;0;1;0;0;0;0;9;2;0;0;0;0;1;0;74;1;58;535;0;388;3;0;3;0;0;1;1;1;28;2676;29;17;176;0;87;73;997;49;6;3;0;0;0;0;159;2;85;5;0;0;0;0;4;136;0;0;0;9;0;0;0;5;0;0;0;0;0;1;0;83;;;;;;;;;;;
M68YD:02200:02651_SUB_SUB;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;11;0;0;0;0;0;0;0;0;0;71;0;2;4;0;1;2;27;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;3;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;;;;;;;;;;;
M68YD:03706:01355_SUB_SUB;155;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;32;0;4;1;0;0;0;0;0;0;0;1;53;0;0;7;0;0;1;29;3;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;
M68YD:00961:02296_SUB_SUB;5803;0;0;0;0;0;0;0;0;11;5;0;0;0;4;0;2;23;5;1458;8;30;0;0;24;104;3;321;17;78;2;137;0;0;0;6;93;2;228;2;707;0;151;50;3;52;4;16;13;13;7;0;13;0;99;7;0;0;2;3;1697;20;101;3;197;12;0;2;0;59;0;0;0;0;0;9;0;0;;;;;;;;;;;
M68YD:01350:01795_SUB_SUB;347;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;65;2;4;0;0;2;4;1;17;2;8;0;6;0;0;0;0;6;0;18;0;46;0;10;0;0;2;1;0;0;0;0;0;0;0;13;0;0;0;0;0;110;0;4;0;15;4;0;0;0;5;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00553:01286_SUB_SUB;512;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;100;1;0;0;0;13;0;1;81;11;0;0;0;0;0;2;0;2;0;0;0;33;0;17;9;1;2;0;0;0;0;0;0;1;0;14;0;0;0;0;0;168;0;15;0;32;0;0;0;0;7;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:02271:02527_SUB_SUB;836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18;3;0;0;0;1;0;0;3;0;10;0;0;0;0;0;1;56;5;57;0;447;0;14;0;7;3;0;0;0;0;0;0;0;0;2;0;0;0;1;0;156;3;20;0;18;0;0;0;0;0;0;0;0;0;0;10;0;0;;;;;;;;;;;
M68YD:03876:00452_SUB_SUB;177;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;60;0;0;0;0;1;1;0;4;0;3;0;4;0;0;0;0;2;0;6;0;16;0;7;4;0;2;0;0;0;1;0;0;0;0;4;2;0;0;0;1;49;0;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:02368:05256_SUB_SUB;102;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;15;0;1;0;0;0;2;0;10;0;6;0;2;0;0;0;0;2;0;5;0;14;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;30;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:03766:01805_SUB_SUB;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;2;0;0;0;0;0;5;1;5;0;6;0;0;0;0;1;0;7;0;9;0;1;1;0;1;0;0;0;0;0;0;1;0;5;0;0;0;0;0;37;0;0;0;3;1;0;0;0;3;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04843:02060_SUB_SUB;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;9;0;14;0;92;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;1;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04361:02064_SUB_SUB;1038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;366;0;0;0;0;2;4;0;77;1;8;0;44;0;0;0;0;14;0;13;0;135;0;23;26;2;16;0;4;14;0;0;0;0;0;7;0;0;0;0;0;251;1;9;0;17;0;0;1;0;0;0;0;0;0;0;2;0;0;;;;;;;;;;;
M68YD:03966:01940_SUB_SUB;314;0;1;0;0;0;0;0;0;5;3;5;0;0;2;0;0;0;0;10;0;1;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;2;1;0;0;86;1;6;17;0;0;0;0;0;1;9;0;3;33;0;0;0;0;44;0;14;0;0;0;0;0;0;60;0;0;0;1;0;0;0;1;;;;;;;;;;;
M68YD:04953:01377_SUB_SUB;140;0;2;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;39;1;3;7;0;0;0;0;0;0;3;0;0;19;0;0;0;0;16;0;5;0;2;0;0;0;0;28;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04055:06806_SUB_SUB;554;0;0;0;0;0;0;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;51;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;5;0;140;;;;;;;;;;;
M68YD:04076:06645_SUB_SUB;1497;0;35;44;3;25;6;0;0;1181;15;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;16;2;1;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:05281:05831_SUB_SUB;110;0;2;2;0;0;2;0;0;93;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:02928:03711_SUB_SUB;713;2;15;31;0;10;9;0;0;540;13;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04043:02827_SUB_SUB;144;0;1;2;1;4;0;0;0;123;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00791:01234_SUB_SUB;223;0;0;5;0;1;1;0;0;198;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00460:02592_SUB_SUB;443;0;3;0;0;9;2;0;0;66;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;38;0;0;0;0;1;0;0;0;0;0;17;141;6;0;0;0;0;0;1;1;0;0;0;0;0;0;127;0;0;0;0;0;7;0;0;;;;;;;;;;;
M68YD:03578:02405_SUB_SUB;481;0;3;0;0;8;3;0;0;46;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;1;0;41;0;0;2;1;0;0;1;0;1;1;14;133;16;0;0;0;0;0;4;1;0;0;0;0;0;0;162;0;0;0;0;0;13;0;0;;;;;;;;;;;
M68YD:04063:07345_SUB_SUB;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;0;0;0;0;0;0;8;16;0;0;0;0;0;1;2;1;93;524;0;0;0;428;0;0;72;0;0;0;0;0;0;12;0;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00204:06461_SUB_SUB;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;8;67;0;0;0;28;0;0;4;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:03948:01360_SUB_SUB;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;19;19;0;0;0;105;0;0;2;0;0;0;0;0;0;3;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04945:01886_SUB_SUB;133;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04505:06513_SUB_SUB;717;0;0;0;0;0;0;0;0;41;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527;20;0;105;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00561:00839_SUB_SUB;101;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;82;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:05157:02098_SUB_SUB;104;0;1;0;0;1;1;60;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;16;0;1;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;
M68YD:01604:05520_SUB_SUB;1508;0;9;1;1;1;30;861;0;16;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;3;0;75;0;0;62;0;0;0;0;0;0;0;0;229;0;6;0;0;0;0;2;1;0;0;76;0;0;0;0;0;2;2;0;0;0;0;100;;;;;;;;;;;
M68YD:00386:05956_SUB_SUB;103;0;0;0;0;0;1;43;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;0;0;29;0;1;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;3;;;;;;;;;;;
M68YD:00106:05895_SUB_SUB;175;0;9;0;1;0;0;0;0;43;0;11;0;0;0;0;0;0;0;7;0;4;0;0;1;0;0;5;0;0;0;0;0;0;1;0;0;0;44;0;2;1;1;0;0;4;0;0;0;1;0;0;4;0;5;3;0;3;0;0;1;4;4;1;11;0;0;0;0;1;0;0;0;1;0;2;0;0;;;;;;;;;;;
M68YD:00037:03828_SUB_SUB;465;0;3;0;0;0;0;0;0;18;41;1;1;2;0;0;2;0;0;5;1;5;0;0;20;0;0;10;46;0;0;0;1;1;5;3;0;3;114;0;2;0;29;0;0;28;0;0;0;0;1;0;22;0;0;7;1;2;3;0;18;0;8;0;12;1;1;0;0;38;0;0;0;0;0;10;0;0;;;;;;;;;;;
M68YD:04856:05126_SUB_SUB;143;0;6;0;0;0;1;0;0;36;1;11;0;0;0;0;0;0;0;10;0;2;0;0;1;0;0;8;0;1;0;0;0;0;0;0;0;0;21;0;0;0;6;0;0;0;0;0;0;1;0;0;2;0;7;2;0;4;1;0;0;2;2;0;14;0;0;0;0;1;0;0;0;1;0;2;0;0;;;;;;;;;;;
M68YD:04930:01304_SUB_SUB;390;0;0;0;0;0;0;0;0;11;40;3;0;0;2;0;0;0;2;6;0;2;0;0;21;0;0;14;43;1;0;0;0;0;1;2;0;1;121;0;0;1;18;0;0;14;0;1;0;0;1;0;15;0;2;8;1;3;1;0;6;0;5;0;4;1;0;0;0;36;0;0;0;0;0;3;0;0;;;;;;;;;;;
M68YD:05240:02053_SUB_SUB;370;0;4;0;0;4;0;0;0;55;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;1;1;6;134;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;27;0;0;0;0;0;59;3;0;0;33;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:01608:06736_SUB_SUB;286;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;19;5;122;0;65;0;0;0;6;0;0;0;0;0;0;0;32;2;0;0;0;0;4;1;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:02230:00103_SUB_SUB;117;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;10;0;0;0;0;0;4;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04505:06850_SUB_SUB;337;4;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;4;0;0;0;0;136;0;0;0;14;0;0;0;0;64;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:04602:06578_SUB_SUB;119;0;28;0;0;0;0;0;0;67;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00764:05927_SUB_SUB;456;0;34;0;0;8;0;0;0;221;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;145;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:00857:05963_SUB_SUB;134;0;10;0;0;1;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
M68YD:03349:07205_SUB_SUB;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;;;;;;;;;;;
