id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:04261:06640_SUB_SUB;174686;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;6759;2730;0;0;1;0;0;0;0;770;0;2;0;0;70001;0;0;1;36693;0;6610;11;10624;0;22;0;0;21772;2;0;0;0;0;3;0;3;1;3;0;0;605;0;17255;0;0;0;0;0;8;0;0;0;1;2;2;0;1;1;0;0;0;0;0;0;0;799
P8S2G:04887:03875_SUB_SUB;4762;1;29;8;1;1;38;110;213;21;246;41;29;25;436;357;198;12;8;30;11;16;2;7;26;84;156;66;6;54;15;88;14;21;27;131;219;27;12;2;68;122;12;54;30;5;17;3;2;27;6;61;7;31;12;1;13;5;3;112;116;13;9;120;64;14;39;15;200;128;10;127;4;0;56;70;42;54;147;26;88;3;3;3;12;1;17;2
P8S2G:04800:01165_SUB_SUB;6421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441;160;0;0;0;0;0;0;0;26;0;0;0;0;1179;0;0;0;1139;0;157;1;156;0;1;0;0;604;0;0;0;0;0;0;0;2;0;0;0;0;37;0;2468;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
P8S2G:05139:04709_SUB_SUB;332775;23210;2449;4097;1980;1003;3905;13758;1083;2556;17731;12;12599;4224;43842;37055;3988;2699;1206;3268;4234;2313;6;0;7;5;1;8;88;7015;7;8615;15;0;43;4;0;3;1922;4;1;54;0;2;12;1;96;471;0;6;953;23657;12925;5639;3697;2982;3722;37;135;2;14;1176;3;1020;0;2983;2;1011;184;37;1;10413;2354;1940;10632;23319;2935;5153;8644;1562;41;2;0;0;0;1;1;0
P8S2G:04013:06981_SUB_SUB;6395;394;109;138;29;26;131;376;43;56;596;0;100;279;300;581;10;116;75;164;85;22;0;0;0;0;0;0;6;352;0;176;0;0;0;0;0;0;51;0;0;0;0;0;1;0;0;20;0;0;26;219;266;111;42;27;31;3;0;0;2;4;0;5;1;6;0;22;0;2;0;151;79;15;44;632;106;19;288;58;0;0;0;0;0;0;0;0
P8S2G:04060:06515_SUB_SUB;64222;4576;559;1505;260;274;871;3309;220;581;3386;10;1865;1495;6461;6026;418;870;474;987;656;296;1;0;0;0;0;0;16;2015;0;1653;3;0;7;2;1;2;481;1;0;13;0;0;1;1;16;150;0;0;264;3736;2740;1000;642;388;806;17;37;2;2;144;0;93;0;293;0;194;4;19;0;2141;464;208;1230;6515;804;586;2088;334;8;0;0;0;0;1;0;0
P8S2G:04073:06730_SUB_SUB;26075;2115;222;316;209;107;532;1281;54;246;1257;0;1168;393;2388;2844;205;236;83;422;559;160;1;0;0;0;0;0;0;765;2;524;0;0;0;0;0;0;126;1;0;5;0;0;0;0;7;29;0;0;51;1600;1453;417;270;271;365;3;10;0;0;62;0;42;0;185;0;76;7;3;0;596;271;152;1135;1360;222;271;838;153;5;0;0;0;0;0;0;0
P8S2G:04079:06999_SUB_SUB;957;59;17;22;4;5;16;75;7;13;88;0;30;37;43;79;3;13;12;30;12;2;0;0;0;0;0;0;0;56;0;23;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;7;38;27;17;7;7;6;1;1;0;0;0;0;1;0;4;0;0;0;1;0;20;11;6;8;92;8;6;28;10;0;0;0;0;0;0;0;0
P8S2G:04115:06557_SUB_SUB;3527;269;23;69;16;12;111;209;10;26;224;0;121;104;209;311;17;46;31;105;77;13;0;0;0;0;0;0;0;168;0;71;0;0;0;0;0;0;21;0;0;1;0;0;0;0;1;2;0;0;16;182;202;29;29;26;50;0;1;0;0;4;0;0;0;13;0;7;1;0;0;96;42;20;74;270;35;23;117;23;0;0;0;0;0;0;0;0
P8S2G:04162:06427_SUB_SUB;7019;500;67;139;25;40;75;325;30;57;413;0;221;145;822;748;39;94;46;101;58;30;0;0;0;0;1;0;5;174;0;167;1;0;0;1;0;1;50;0;0;0;0;0;0;0;1;15;0;0;24;454;269;106;83;43;69;1;6;0;1;23;0;12;0;30;0;23;2;4;0;245;46;28;130;550;94;85;264;33;3;0;0;0;0;0;0;0
P8S2G:04218:06407_SUB_SUB;1278;105;9;15;12;1;12;62;7;13;66;0;68;9;119;138;12;8;7;23;10;11;1;0;0;0;0;0;0;22;0;26;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;4;0;0;4;121;47;20;14;9;13;0;0;0;0;3;0;4;0;8;0;3;0;0;0;44;7;7;40;106;6;20;29;6;0;0;0;0;0;0;0;0
P8S2G:04189:06470_SUB_SUB;465;32;5;7;0;3;34;25;0;3;35;0;16;28;14;34;0;6;4;14;23;1;0;0;0;0;0;0;0;34;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19;25;7;3;3;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1;0;1;29;8;1;26;4;0;0;0;0;0;0;0;0
P8S2G:04253:06510_SUB_SUB;719;69;4;16;0;3;10;26;3;8;47;0;11;19;97;70;1;4;5;8;4;2;0;0;0;0;0;0;0;17;0;11;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;3;0;0;8;41;47;9;9;5;8;0;0;0;0;2;0;0;0;5;0;0;0;0;0;14;2;5;15;66;10;4;16;7;0;0;0;0;0;0;0;0
