id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982461-S0001plqA-A0000Rep1_IonCode_0221;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:04426:06990_SUB_SUB;45731;1078;19;644;478;498;1;0;0;0;0;0;0;0;0;0;0;0;0;2;24;0;1468;1677;127;1;0;17;219;61;11;667;5;20;491;0;29;0;1887;516;344;2;2217;0;22;1;19;319;102;778;195;7365;2516;1310;468;696;8;179;1073;2;1;1170;63;1720;906;930;108;720;235;23;1;3336;330;365;2880;640;2674;255;208;1057;1;25;8;172;10;126;56;94;61
P8S2G:00745:05800_SUB_SUB;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;186;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00029:05909_SUB_SUB;153;0;6;0;1;0;1;1;0;0;0;0;14;3;0;26;7;0;2;0;3;8;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;6;0;1;0;0;0;0;2;0;21;1;5;0;0;0;1;0;0;2;0;0;8;1;2;10;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5
P8S2G:05124:04468_SUB_SUB;47395;17;2290;208;147;135;1325;1553;110;143;248;20;3148;803;38;7949;2140;109;1209;160;1048;1406;11;51;261;0;0;0;16;5;5;5;0;0;145;1;0;0;321;2446;2400;0;84;1;851;0;17;715;17;4963;192;835;172;237;38;91;85;14;233;1;1;1036;1144;217;3827;174;0;4;8;2;0;6;37;16;12;632;14;0;1;0;0;28;2;10;1;0;4;0;1800
P8S2G:03769:03789_SUB_SUB;111;0;6;1;0;0;8;2;0;0;0;0;3;1;0;16;5;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;0;0;0;2;0;0;1;0;8;0;0;1;0;0;1;0;0;0;0;0;4;6;0;5;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8
P8S2G:00083:04451_SUB_SUB;2519;307;344;35;26;5;0;2;63;260;80;0;0;0;0;0;0;186;3;9;3;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;606;300;116;27;85;19;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;18;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01056:00601_SUB_SUB;1936;0;95;7;2;11;73;57;4;6;7;0;156;32;0;317;81;4;51;8;62;52;0;1;29;0;0;0;0;0;0;0;0;0;6;0;0;0;16;148;79;1;3;0;31;0;0;29;1;198;6;20;7;7;3;5;1;0;5;0;0;37;60;5;138;5;0;0;0;0;0;0;3;0;0;10;1;0;0;0;0;1;0;0;0;0;0;0;55
P8S2G:01694:04048_SUB_SUB;1711;3;43;4;1;2;45;49;2;3;10;0;139;14;0;420;133;1;23;2;32;44;1;4;14;0;0;0;0;1;0;1;0;0;6;0;0;0;12;76;114;0;5;0;33;0;0;33;1;184;7;36;14;1;2;1;0;0;5;0;0;56;31;8;54;3;0;0;0;0;0;1;0;1;0;5;0;0;0;0;0;1;0;0;0;0;0;0;30
P8S2G:04045:06948_SUB_SUB;425;0;1;3;0;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;2;10;0;0;0;0;1;0;2;0;0;6;0;0;0;2;25;73;1;1;0;1;0;4;6;0;26;0;12;5;4;0;1;0;0;2;0;0;9;0;12;108;2;0;0;2;0;0;0;0;0;0;89;0;0;0;0;0;8;0;0;0;0;0;0;0
P8S2G:04141:06465_SUB_SUB;969;0;3;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;18;0;0;0;0;1;0;7;0;0;48;0;0;0;17;37;103;1;0;0;0;0;8;6;0;30;0;28;4;3;0;2;0;0;3;0;0;12;1;117;173;43;0;3;3;0;0;3;0;0;6;203;7;0;0;0;0;14;0;2;0;0;0;0;0
P8S2G:04395:06508_SUB_SUB;920;4;2;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;25;0;0;0;0;35;0;0;2;0;0;0;0;0;0;7;71;13;0;32;0;0;0;0;0;2;1;1;32;32;202;3;27;0;3;2;0;0;40;0;75;6;6;10;3;0;0;0;21;1;7;32;1;14;1;19;111;0;0;1;1;0;0;0;0;17
P8S2G:04420:06991_SUB_SUB;1951;46;0;14;27;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;105;85;8;0;0;0;5;2;0;22;1;0;18;0;1;0;73;30;10;0;90;0;0;0;0;8;4;19;8;248;133;36;16;23;1;14;48;1;0;33;8;43;35;47;3;27;5;1;0;115;32;13;182;24;124;11;13;58;0;2;0;18;0;8;0;7;5
P8S2G:04397:07020_SUB_SUB;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;13;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;1;10;0;53;14;6;5;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
