id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944202-S0001plqA-A0000Rep1_IonCode_0239;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963841-S0001plqA-A0000Rep1_IonCode_0286;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982461-S0001plqA-A0000Rep1_IonCode_0221;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:04007:06615_SUB_SUB;10995;0;38;202;83;13;45;80;0;396;367;0;13;70;43;0;56;32;399;110;768;21;74;0;0;57;95;28;0;0;33;0;0;12;0;79;0;0;0;619;192;0;0;2;0;0;0;120;198;5;31;189;0;125;32;19;33;281;2;0;69;0;222;1059;27;1360;0;2059;0;0;674;1;0;0;18;29;203;0;120;77;34;0;0;0;0;30;29;0;1;11;10
P8S2G:04016:06614_SUB_SUB;3601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;14;0;0
P8S2G:03999:06681_SUB_SUB;17590;0;33;314;87;8;68;157;0;641;470;0;17;101;45;0;75;55;517;158;787;24;114;2;0;62;176;57;0;0;31;0;0;31;0;109;0;0;0;1065;237;0;0;0;2;0;0;180;360;10;56;307;3;189;49;28;53;557;2;0;110;0;365;1995;33;2215;0;3760;0;0;958;1;0;0;13;46;325;0;238;107;65;0;0;0;0;32;32;0;2;23;33
P8S2G:03984:06701_SUB_SUB;110;0;2;4;21;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04012:06796_SUB_SUB;569;0;12;5;7;1;8;52;0;5;0;0;0;7;15;0;0;0;7;0;5;6;16;13;0;0;0;0;0;0;0;0;50;0;26;0;0;0;0;0;31;1;0;0;0;0;0;0;1;0;77;0;1;22;29;87;8;0;2;0;0;0;0;10;6;0;16;8;0;0;0;0;0;0;20;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3
P8S2G:04019:06950_SUB_SUB;2636;0;0;71;33;0;0;0;0;0;0;0;0;0;0;0;0;579;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;556;15;12;24;21;0;0;0;0;0;0;0;0;0;0;0;0;1119;0;0;0;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03991:07024_SUB_SUB;1840;0;10;30;9;2;5;13;0;81;38;0;1;11;11;0;9;1;47;12;151;5;7;0;0;11;30;3;0;0;8;0;0;3;0;8;0;0;0;99;42;0;0;0;0;0;0;18;42;1;4;29;0;32;13;7;11;45;0;0;23;0;69;167;11;255;1;258;0;0;86;0;0;0;5;3;41;0;18;19;16;0;0;0;0;4;5;0;0;2;8
P8S2G:04036:06440_SUB_SUB;384;0;1;6;5;1;2;5;0;17;15;0;1;0;2;0;0;2;7;4;43;3;2;0;0;1;6;0;0;0;0;0;0;1;0;2;0;0;0;18;10;0;0;0;0;0;0;4;9;0;1;5;0;6;2;2;2;10;0;0;2;0;19;23;2;42;0;53;0;0;20;0;0;0;1;1;13;0;4;5;1;0;0;0;0;1;0;0;0;1;1
P8S2G:04036:06442_SUB_SUB;21457;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;6;1787;1;16145;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04049:06413_SUB_SUB;4232;0;27;93;33;6;15;44;0;178;138;0;2;29;35;0;34;10;151;39;330;15;25;0;0;25;99;10;0;0;10;0;0;7;0;24;0;0;0;178;113;0;0;0;0;0;0;46;89;6;8;52;0;58;38;14;18;70;0;0;64;0;288;320;25;525;0;445;0;0;236;0;0;0;18;8;77;0;50;50;41;0;0;0;0;4;2;0;1;2;7
P8S2G:04044:06815_SUB_SUB;16586;0;69;231;117;20;53;150;0;746;482;0;14;87;54;0;77;34;492;123;687;21;84;0;0;69;292;55;0;0;25;0;0;17;0;90;0;0;0;800;387;0;0;0;0;0;0;195;295;11;30;204;4;284;109;38;54;464;2;0;115;0;1085;1713;51;2264;0;2460;0;0;905;0;0;1;21;46;355;0;209;157;121;0;0;0;0;32;29;0;0;13;43
P8S2G:04076:06806_SUB_SUB;22328;0;119;397;191;21;73;206;0;954;747;0;18;117;84;0;103;59;751;212;1219;44;108;0;0;87;400;51;0;0;52;0;0;30;0;139;0;0;0;1025;576;1;1;1;0;0;0;229;453;15;58;290;7;376;149;52;99;485;3;0;226;0;1212;2104;79;3025;1;2968;0;0;1286;3;0;0;73;43;464;0;291;202;205;0;0;0;0;33;34;1;2;14;60
P8S2G:04044:06978_SUB_SUB;234;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;58;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
