"","x"
"1","Buxbaumiaviridis"
"2","Dicranellaheteromalla"
"3","Dicranodontiumdenudatum"
"4","Grimmiahartmanii"
"5","Sciuro_hypnum"
"6","Isotheciumalopecuroides"
"7","Plagiothecium"
"8","Hypnales"
"9","Lewinskya"
"10","Orthotrichumalpestre"
"11","Tortulaatrovirens"
"12","Apiaceae"
"13","Allium"
"14","Achilleamillefolium"
"15","Leontodonhispidus"
"16","Asteraceae"
"17","Campanularotundifolia"
"18","Brassicaoleracea"
"19","Cardamineimpatiens"
"20","Lunaria"
"21","Brassicaceae"
"22","Bistortaofficinalis"
"23","Persicaria"
"24","Rumexacetosa"
"25","Rumex"
"26","Sambucus"
"27","Knautia"
"28","Valeriana"
"29","Impatiensnoli_tangere"
"30","Impatiens"
"31","Vacciniummyrtillus"
"32","Vacciniumuliginosum"
"33","Vacciniumvitis_idaea"
"34","Vaccinium"
"35","Lysimachianummularia"
"36","Cytisusscoparius"
"37","Lotusdorycnium"
"38","Lotus"
"39","Robiniapseudoacacia"
"40","Trifolium"
"41","Betulapendula"
"42","Betula"
"43","Carpinusbetulus"
"44","Betulaceae"
"45","Castaneasativa"
"46","Fagussylvatica"
"47","Quercusilex"
"48","Quercus"
"49","Fagales"
"50","Gentiana"
"51","Galium"
"52","Geraniumsylvaticum"
"53","Geranium"
"54","Ajuga"
"55","Origanumvulgare"
"56","Prunellavulgaris"
"57","Salviaverticillata"
"58","Teucriumscorodonia"
"59","Thymus"
"60","Lamiaceae"
"61","Fraxinus"
"62","Oleaceae"
"63","Melampyrumpratense"
"64","Melampyrumsylvaticum"
"65","Melampyrum"
"66","Digitalispurpurea"
"67","Plantagolanceolata"
"68","Plantago"
"69","Veronicachamaedrys"
"70","Veronicaofficinalis"
"71","Plantaginaceae"
"72","Lamiales"
"73","Liriodendrontulipifera"
"74","Hypericumhumifusum"
"75","Hypericumperforatum"
"76","Hypericumpulchrum"
"77","Hypericum"
"78","Violacollina"
"79","Viola"
"80","Tilia"
"81","Epilobium"
"82","Oenothera"
"83","Oxalisacetosella"
"84","Luzulasylvatica"
"85","Agrostis"
"86","Holcus"
"87","Ranunculus"
"88","Ranunculaceae"
"89","Ficuscarica"
"90","Rhamnuscathartica"
"91","Alchemilla"
"92","Aphanesaustralis"
"93","Filipendulaulmaria"
"94","Geum"
"95","Potentilla"
"96","Prunus"
"97","Rosa"
"98","Rubusidaeus"
"99","Sanguisorbaofficinalis"
"100","Rosaceae"
"101","Ulmus"
"102","Urticadioica"
"103","Viscumalbum"
"104","Acerplatanoides"
"105","Acer"
"106","Liquidambarstyraciflua"
"107","Hylotelephiummaximum"
"108","Ribesalpinum"
"109","Ribesrubrum"
"110","Chrysospleniumalternifolium"
"111","Chrysospleniumoppositifolium"
"112","Magnoliopsida"
"113","Abies"
"114","Pinus"
"115","Equisetumsylvaticum"
"116","Polytrichumformosum"
"117","Ptychostomum"
"118","Dicranumscoparium"
"119","Campylopusflexuosus"
"120","Campylopus"
"121","Leucobryum"
"122","Grimmiatrichophylla"
"123","Brachythecium"
"124","Lescuraeamutabilis"
"125","Plagiotheciumcavifolium"
"126","Plagiotheciumcurvifolium"
"127","Ulotacoarctata"
"128","Ceratodonpurpureus"
"129","Ditrichumheteromallum"
"130","Ditrichumpusillum"
"131","Pleuridiumsubulatum"
"132","Bryopsida"
"133","Cephaloziella"
"134","Diplophyllumalbicans"
"135","Chaerophyllum"
"136","Hederahelix"
"137","Anthemisarvensis"
"138","Hieracium"
"139","Lactucaplumieri"
"140","Lapsanacommunis"
"141","Myosotisarvensis"
"142","Noccaea"
"143","Caryophyllaceae"
"144","Rumexacetosella"
"145","Lysimachia"
"146","Primula"
"147","Genistapilosa"
"148","Lathyrus"
"149","Alnus"
"150","Rubiaceae"
"151","Betonicaofficinalis"
"152","Galeopsis"
"153","Rhinanthus"
"154","Digitalis"
"155","Populusnigra"
"156","Populustrichocarpa"
"157","Salixbabylonica"
"158","Salix"
"159","Circaeaalpina"
"160","Juncus"
"161","Calamagrostis"
"162","Actaeaspicata"
"163","Calthapalustris"
"164","Rhamnus"
"165","Equisetum"
"166","Atrichumundulatum"
"167","Polytrichum"
"168","Scorzoneroidespyrenaica"
"169","Carduus"
"170","Centaurea"
"171","Hieraciumtomentosum"
"172","Hieraciumumbellatum"
"173","Petasites"
"174","Serratulatinctoria"
"175","Solidago"
"176","Arrhenatherumelatius"
"177","Drymochloasylvatica"
"178","Festucalemanii"
"179","Agrostiscapillaris"
"180","Anthoxanthum"
"181","Dactylisglomerata"
"182","Festuca"
"183","Lolium"
"184","Miliumeffusum"
"185","Poaceae"
"186","Avenellaflexuosa"
